rank,domain,company_name,country,sector
386,arthagraha.com,"Bank Artha Graha Internasional","Indonesia","Banking & Finance"
387,bankbjb.co.id,"Bank BJB","Indonesia","Banking & Finance"
388,btpnsyariah.com,"Bank BTPN Syariah","Indonesia","Banking & Finance"
389,bankbba.co.id,"Bank Bumi Arta","Indonesia","Banking & Finance"
390,bankcapital.co.id,"Bank Capital Indonesia","Indonesia","Banking & Finance"
391,bca.co.id,"Bank Central Asia","Indonesia","Banking & Finance"
392,idn.ccb.com,"Bank China Construction Bank Indonesia","Indonesia","Banking & Finance"
393,cimbniaga.co.id,"Bank CIMB Niaga","Indonesia","Banking & Finance"
394,bank-day.ir,"Bank Day","Iran","Banking & Finance"
395,bankavrasiya.az,"Bank Eurasia","Azerbaijan","Banking & Finance"
396,bankganesha.co.id,"Bank Ganesha","Indonesia","Banking & Finance"
397,bankhapoalim.co.il,"Bank Hapoalim B.M.","Israel","Banking & Finance"
398,allobank.com,"Bank Harda Internasional","Indonesia","Banking & Finance"
399,ibk.co.id,"Bank IBK Indonesia","Indonesia","Banking & Finance"
400,bankina.co.id,"Bank Ina Perdana","Indonesia","Banking & Finance"
401,bankartos.co.id,"Bank Jago","Indonesia","Banking & Finance"
402,jtrustbank.co.id,"Bank JTrust Indonesia","Indonesia","Banking & Finance"
403,leumi.co.il,"Bank Leumi Le- Israel B.m.","Israel","Banking & Finance"
404,bankmandiri.co.id,"Bank Mandiri","Indonesia","Banking & Finance"
405,bank-maskan.ir,"Bank Maskan","Iran","Banking & Finance"
406,bankmayapada.com,"Bank Mayapada Internasional","Indonesia","Banking & Finance"
407,bankmega.com,"Bank Mega","Indonesia","Banking & Finance"
408,bankmellat.ir,"Bank Mellat","Iran","Insurance"
409,bmi.ir,"Bank Melli Iran","Iran","Banking & Finance"
410,bankmestika.co.id,"Bank Mestika Dharma","Indonesia","Banking & Finance"
411,mncbank.co.id,"Bank MNC Internasional","Indonesia","Banking & Finance"
412,bankmas.co.id,"Bank Multiarta Sentosa","Indonesia","Banking & Finance"
413,nobubank.com,"Bank Nationalnobu","Indonesia","Banking & Finance"
414,bni.co.id,"Bank Negara Indonesia","Indonesia","Banking & Finance"
