rank,domain,company_name,country,sector
164,flowtraders.com,"Flow Traders","Netherlands","Banking & Finance"
165,flutter.com,"Flutter Entertainment","Ireland","Other"
166,flutter.com,"Flutter Entertainment","Ireland","Other"
167,fcc.es,"Fomento de Construcciones y Contratas","Spain","Other"
168,fortum.com,"Fortum","Finland","Energy & Utilities"
169,faurecia.com,"Forvia","France","Other"
170,freenet.ag,"Freenet AG","Germany","Telecommunications"
171,fresenius.com,"Fresenius (company)","Germany","Healthcare"
172,fmcna.com,"Fresenius Medical Care","Germany","Healthcare"
173,galp.com,"Galp Energia","Portugal","Energy & Utilities"
174,galp.com,"Galp Energia","Portugal","Energy & Utilities"
175,warhammer.com,"Games Workshop","United Kingdom","Retail & Consumer"
176,gea.com,"GEA Group","Germany","Transportation & Logistics"
177,geberit.com,"Geberit","Switzerland","Other"
178,geberit.com,"Geberit","Switzerland","Other"
179,gecina.fr,"Gecina","France","Real Estate & Infrastructure"
180,georgfischer.com,"Georg Fischer (company)","Switzerland","Transportation & Logistics"
181,georgfischer.com,"Georg Fischer (company)","Switzerland","Transportation & Logistics"
182,getlinkgroup.com,"Getlink","France","Transportation & Logistics"
183,givaudan.com,"Givaudan","Switzerland","Materials & Chemicals"
184,glanbia.com,"Glanbia","Ireland","Retail & Consumer"
185,glencore.com,"Glencore","United Kingdom","Materials & Chemicals"
186,gn.com,"GN Store Nord","Denmark","Healthcare"
187,graftonplc.com,"Grafton Group","Ireland","Transportation & Logistics"
188,greggs.co.uk,"Greggs","United Kingdom","Other"
189,grifols.com,"Grifols","Spain","Healthcare"
190,grifols.com,"Grifols","Spain","Healthcare"
191,camparigroup.com,"Gruppo Campari","Italy","Retail & Consumer"
192,gsk.com,"GSK plc","United Kingdom","Healthcare"
193,www2.hm.com,"H&M","Sweden","Other"
194,haleon.com,"Haleon","United Kingdom","Retail & Consumer"
195,halma.com,"Halma plc","United Kingdom","Transportation & Logistics"
196,halma.com,"Halma plc","United Kingdom","Transportation & Logistics"
197,halma.com,"Halma plc","United Kingdom","Transportation & Logistics"
198,hannover-re.com,"Hannover Re","Germany","Insurance"
199,hl.co.uk,"Hargreaves Lansdown","United Kingdom","Banking & Finance"
200,hays.com,"Hays plc","United Kingdom","Transportation & Logistics"
201,heidelbergmaterials.com,"Heidelberg Materials","Germany","Other"
202,heidelbergmaterials.com,"Heidelberg Materials","Germany","Other"
203,helvetia.com,"Helvetia Insurance","Switzerland","Insurance"
204,helvetia.com,"Helvetia Insurance","Switzerland","Insurance"
205,henkel.com,"Henkel","Germany","Retail & Consumer"
206,henkel.com,"Henkel","Germany","Retail & Consumer"
207,hermes.com,"Hermès","France","Retail & Consumer"
208,hikma.com,"Hikma Pharmaceuticals","United Kingdom","Healthcare"
209,hiscoxgroup.com,"Hiscox","Bermuda","Insurance"
210,holcim.com,"Holcim","Switzerland","Other"
211,hsbc.com,"HSBC","United Kingdom","Banking & Finance"
212,group.hugoboss.com,"Hugo Boss","Germany","Retail & Consumer"
213,husqvarnagroup.com,"Husqvarna Group","Sweden","Retail & Consumer"
214,iberdrola.com,"Iberdrola","Spain","Energy & Utilities"
215,ig.com,"IG Group","United Kingdom","Banking & Finance"
216,imiplc.com,"IMI plc","United Kingdom","Transportation & Logistics"
217,imiplc.com,"IMI plc","United Kingdom","Transportation & Logistics"
218,imiplc.com,"IMI plc","United Kingdom","Transportation & Logistics"
219,imperialbrandsplc.com,"Imperial Brands","United Kingdom","Retail & Consumer"
220,inchcape.com,"Inchcape plc","United Kingdom","Other"
221,inditex.com,"Inditex","Spain","Other"
222,indivior.com,"Indivior","United Kingdom","Healthcare"
223,indutrade.se,"Indutrade","Sweden","Transportation & Logistics"
224,infineon.com,"Infineon Technologies","Germany","Technology"
225,informa.com,"Informa","United Kingdom","Media & Entertainment"
226,informa.com,"Informa","United Kingdom","Media & Entertainment"
227,ing.com,"ING Group","Netherlands","Banking & Finance"
228,inpost.it,"InPost","Luxembourg","Transportation & Logistics"
229,ihgplc.com,"InterContinental Hotels Group","United Kingdom","Other"
230,icgam.com,"Intermediate Capital Group","United Kingdom","Banking & Finance"
231,iairgroup.com,"International Airlines Group","Spain","Other"
232,iairgroup.com,"International Airlines Group","United Kingdom","Other"
233,iairgroup.com,"International Consolidated Airlines Group","United Kingdom","Other"
234,interpumpgroup.it,"Interpump Group","Italy","Transportation & Logistics"
235,intertek.com,"Intertek","United Kingdom","Transportation & Logistics"
236,intesasanpaolo.com,"Intesa Sanpaolo","Italy","Banking & Finance"
237,investec.com,"Investec","United Kingdom","Banking & Finance"
238,ipsos.com,"Ipsos","France","Media & Entertainment"
